iter_global,activityType,raw_data_samp_time[ms],binLineWr_time[ms],iterTime_binlineIdx[ms],distLuna [cm],strengthLuna[Amp],tempLuna[Cdeg],mpuAngle[deg],mpuTotGyro[rad/sec],mpuTotAcc[m/s^2],mpu_gyroX[rad/sec],mpu_gyroY[rad/sec],mpu_GyroZ[rad/sec],mpu_accX[m/s^2],mpu_accY[m/s^2],mpu_accZ[m/s^2],vl1_dist[cm],vl2_dist[cm],vl3_dist[cm],VLAngle[deg],fusedAngle[deg],spincount,bucket10,digit,currentTopDir,currentHammerDir,currentSystemMode,currentTopMode,currentHammerMode
0,5,33573.180,33576.000,33576.000,0,0,0.000,0.200,0.323,9.589,-0.225,0.158,0.170,0.740,0.747,9.531,11.000,73.000,120.000,-57.296,0.200,0,0,0,0,0,0,0,0
1,5,33593.160,33596.000,20.000,0,0,0.000,0.386,0.314,9.518,-0.210,0.173,0.158,0.709,0.493,9.479,9.000,74.000,120.000,-57.296,0.386,0,0,0,0,0,0,0,0
2,5,33613.160,33616.000,20.000,0,0,0.000,0.564,0.300,9.571,-0.184,0.177,0.157,0.699,0.522,9.531,13.000,71.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
3,5,33633.148,33636.000,20.000,0,0,0.000,0.564,0.276,9.513,-0.157,0.174,0.145,0.555,0.500,9.483,11.000,73.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
4,5,33653.160,33656.000,20.000,0,0,0.000,0.564,0.283,9.740,-0.173,0.186,0.124,0.764,0.761,9.680,15.000,70.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
5,5,33673.160,33676.000,20.000,0,0,0.000,0.564,0.327,9.663,-0.210,0.224,0.114,0.718,0.563,9.620,11.000,73.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
6,5,33693.160,33696.000,20.000,0,0,0.000,0.564,0.335,9.590,-0.215,0.231,0.112,0.515,0.469,9.565,12.000,69.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
7,5,33713.152,33716.000,20.000,0,0,0.000,0.564,0.303,9.494,-0.190,0.201,0.122,0.321,0.232,9.486,12.000,71.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
8,5,33733.148,33736.000,20.000,0,0,0.000,0.564,0.253,9.395,-0.142,0.160,0.134,0.275,0.146,9.390,13.000,71.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
9,5,33753.164,33756.000,20.000,0,0,0.000,0.564,0.226,9.496,-0.107,0.136,0.145,0.503,0.271,9.479,11.000,71.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
10,5,33773.160,33776.000,20.000,0,0,0.000,0.697,0.226,9.576,-0.097,0.139,0.150,0.431,0.285,9.562,10.000,72.000,120.000,-57.296,0.697,0,0,0,0,0,0,0,0
11,5,33793.160,33796.000,20.000,0,0,0.000,0.740,0.202,9.521,-0.069,0.119,0.148,0.136,0.115,9.519,11.000,71.000,120.000,-57.296,0.740,0,0,0,0,0,0,0,0
12,5,33813.160,33816.000,20.000,0,0,0.000,0.827,0.169,9.462,-0.036,0.062,0.152,0.144,0.136,9.459,12.000,70.000,120.000,-57.296,0.827,0,0,0,0,0,0,0,0
13,5,33828.137,33833.000,17.000,0,0,0.000,0.827,0.158,9.605,-0.022,0.049,0.149,0.340,0.235,9.596,12.000,70.000,120.000,-57.296,0.827,0,0,0,0,0,0,0,0
14,5,33853.168,33856.000,23.000,0,0,0.000,0.870,0.149,9.571,-0.003,0.040,0.144,0.397,0.316,9.558,11.000,68.000,120.000,-57.296,0.870,0,0,0,0,0,0,0,0
15,5,33873.160,33876.000,20.000,0,0,0.000,0.914,0.161,9.621,-0.003,0.049,0.153,0.400,0.292,9.608,12.000,68.000,120.000,-57.296,0.914,0,0,0,0,0,0,0,0
16,5,33893.160,33896.000,20.000,0,0,0.000,1.000,0.149,9.534,0.009,0.034,0.145,0.182,0.139,9.531,10.000,69.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
17,5,33913.160,33916.000,20.000,0,0,0.000,1.000,0.132,9.577,0.038,0.007,0.126,0.239,0.208,9.572,14.000,70.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
18,5,33933.160,33936.000,20.000,0,0,0.000,1.000,0.103,9.667,0.045,0.004,0.093,0.285,0.287,9.658,10.000,69.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
19,5,33953.168,33956.000,20.000,0,0,0.000,1.000,0.081,9.619,0.050,0.017,0.062,0.318,0.333,9.608,10.000,66.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
20,5,33973.148,33976.000,20.000,0,0,0.000,1.000,0.055,9.627,0.032,0.038,0.024,0.414,0.448,9.608,10.000,66.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
21,5,33993.160,33996.000,20.000,0,0,0.000,1.000,0.050,9.637,0.010,0.049,-0.006,0.359,0.405,9.622,10.000,65.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
22,5,34013.160,34016.000,20.000,0,0,0.000,1.000,0.067,9.675,0.002,0.065,-0.019,0.407,0.409,9.658,12.000,65.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
23,5,34033.152,34036.000,20.000,0,0,0.000,1.000,0.056,9.644,-0.037,0.034,-0.024,0.022,0.481,9.632,12.000,70.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
24,5,34053.168,34056.000,20.000,0,0,0.000,1.000,0.061,9.582,-0.040,-0.028,-0.036,0.098,0.218,9.579,9.000,67.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
25,5,34073.160,34076.000,20.000,0,0,0.000,1.000,0.073,9.612,-0.027,-0.042,-0.054,0.290,0.278,9.603,10.000,67.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
26,5,34093.160,34096.000,20.000,0,0,0.000,1.000,0.101,9.643,-0.031,-0.034,-0.089,0.412,0.316,9.629,10.000,66.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
27,5,34113.160,34116.000,20.000,0,0,0.000,1.000,0.131,9.652,-0.027,0.018,-0.127,0.654,0.326,9.625,9.000,67.000,120.000,-57.296,1.000,0,0,0,0,0,0,0,0
28,5,34133.152,34136.000,20.000,0,0,0.000,0.956,0.182,9.688,-0.033,0.089,-0.155,0.575,0.333,9.665,12.000,65.000,120.000,-57.296,0.956,0,0,0,0,0,0,0,0
29,5,34153.168,34156.000,20.000,0,0,0.000,0.758,0.250,9.808,-0.076,0.157,-0.180,0.584,0.438,9.780,10.000,70.000,120.000,-57.296,0.758,0,0,0,0,0,0,0,0
30,5,34173.160,34176.000,20.000,0,0,0.000,0.559,0.247,9.554,-0.081,0.160,-0.169,0.206,0.175,9.550,10.000,71.000,120.000,-57.296,0.559,0,0,0,0,0,0,0,0
31,5,34193.160,34196.000,20.000,0,0,0.000,0.421,0.206,9.576,-0.073,0.130,-0.142,0.196,0.208,9.572,14.000,71.000,120.000,-57.296,0.421,0,0,0,0,0,0,0,0
32,5,34213.152,34216.000,20.000,0,0,0.000,0.421,0.152,9.538,-0.061,0.090,-0.106,0.129,0.108,9.536,13.000,70.000,120.000,-57.296,0.421,0,0,0,0,0,0,0,0
33,5,34233.160,34236.000,20.000,0,0,0.000,0.421,0.108,9.586,-0.046,0.066,-0.072,0.247,0.146,9.582,11.000,71.000,120.000,-57.296,0.421,0,0,0,0,0,0,0,0
34,5,34253.164,34256.000,20.000,0,0,0.000,0.421,0.064,9.555,-0.044,0.037,-0.029,0.172,0.122,9.553,12.000,72.000,120.000,-57.296,0.421,0,0,0,0,0,0,0,0
35,5,34273.164,34276.000,20.000,0,0,0.000,0.421,0.030,9.540,-0.020,0.019,0.013,0.280,-0.057,9.536,11.000,72.000,120.000,-57.296,0.421,0,0,0,0,0,0,0,0
36,5,34293.160,34296.000,20.000,0,0,0.000,0.421,0.059,9.528,0.017,0.009,0.055,0.278,0.041,9.524,12.000,72.000,120.000,-57.296,0.421,0,0,0,0,0,0,0,0
37,5,34313.160,34316.000,20.000,0,0,0.000,0.421,0.104,9.577,0.027,-0.001,0.100,0.304,0.086,9.572,10.000,75.000,120.000,-57.296,0.421,0,0,0,0,0,0,0,0
38,5,34333.160,34336.000,20.000,0,0,0.000,0.421,0.151,9.483,0.052,-0.016,0.141,0.280,-0.096,9.479,13.000,74.000,120.000,-57.296,0.421,0,0,0,0,0,0,0,0
39,5,34353.148,34356.000,20.000,0,0,0.000,0.564,0.202,9.458,0.096,-0.033,0.175,0.237,-0.060,9.455,12.000,72.000,120.000,-57.296,0.564,0,0,0,0,0,0,0,0
40,5,34373.160,34376.000,20.000,0,0,0.000,0.786,0.238,9.590,0.117,-0.051,0.201,0.266,0.230,9.584,13.000,71.000,120.000,-57.296,0.786,0,0,0,0,0,0,0,0
41,5,34393.160,34396.000,20.000,0,0,0.000,1.028,0.249,9.610,0.104,-0.050,0.220,0.306,0.194,9.603,13.000,72.000,120.000,-57.296,1.028,0,0,0,0,0,0,0,0
42,5,34413.160,34416.000,20.000,0,0,0.000,1.281,0.261,9.565,0.127,-0.054,0.221,0.294,0.124,9.560,9.000,69.000,120.000,-57.296,1.281,0,0,0,0,0,0,0,0
43,5,34433.160,34436.000,20.000,0,0,0.000,1.537,0.259,9.681,0.129,-0.036,0.221,0.412,0.376,9.665,12.000,68.000,120.000,-57.296,1.537,0,0,0,0,0,0,0,0
44,5,34453.148,34456.000,20.000,0,0,0.000,1.784,0.241,9.705,0.118,-0.022,0.209,0.280,0.309,9.697,12.000,70.000,120.000,-57.296,1.784,0,0,0,0,0,0,0,0
45,5,34473.168,34476.000,20.000,0,0,0.000,2.008,0.214,9.665,0.102,-0.014,0.187,0.340,0.503,9.646,11.000,68.000,120.000,-57.296,2.008,0,0,0,0,0,0,0,0
46,5,34493.160,34496.000,20.000,0,0,0.000,2.199,0.176,9.665,0.082,-0.009,0.155,0.213,0.467,9.651,13.000,69.000,120.000,-57.296,2.199,0,0,0,0,0,0,0,0
47,5,34513.160,34516.000,20.000,0,0,0.000,2.242,0.139,9.663,0.066,-0.001,0.122,0.237,0.462,9.649,11.000,65.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
48,5,34533.152,34536.000,20.000,0,0,0.000,2.242,0.102,9.678,0.056,0.002,0.085,0.333,0.479,9.661,12.000,66.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
49,5,34553.148,34556.000,20.000,0,0,0.000,2.242,0.065,9.676,0.028,0.035,0.047,0.426,0.500,9.653,10.000,65.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
50,5,34573.148,34576.000,20.000,0,0,0.000,2.242,0.069,9.711,0.018,0.066,0.013,0.338,0.462,9.694,11.000,66.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
51,5,34593.160,34596.000,20.000,0,0,0.000,2.242,0.074,9.676,-0.006,0.073,-0.005,0.306,0.536,9.656,11.000,68.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
52,5,34613.160,34616.000,20.000,0,0,0.000,2.242,0.103,9.714,-0.048,0.088,-0.024,0.304,0.587,9.692,13.000,70.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
53,5,34633.160,34636.000,20.000,0,0,0.000,2.242,0.104,9.634,-0.071,0.070,-0.029,0.175,0.500,9.620,15.000,69.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
54,5,34653.152,34656.000,20.000,0,0,0.000,2.242,0.115,9.583,-0.088,0.058,-0.046,0.256,0.314,9.574,10.000,68.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
55,5,34673.168,34676.000,20.000,0,0,0.000,2.242,0.109,9.618,-0.076,0.064,-0.046,0.280,0.256,9.610,12.000,67.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
56,5,34693.160,34696.000,20.000,0,0,0.000,2.242,0.107,9.638,-0.074,0.057,-0.051,0.251,0.385,9.627,9.000,68.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
57,5,34713.152,34716.000,20.000,0,0,0.000,2.242,0.114,9.644,-0.083,0.065,-0.044,0.294,0.381,9.632,11.000,68.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
58,5,34733.160,34736.000,20.000,0,0,0.000,2.242,0.103,9.439,-0.056,0.073,-0.047,0.328,0.024,9.433,12.000,67.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
59,5,34753.160,34756.000,20.000,0,0,0.000,2.242,0.087,9.391,0.017,0.073,-0.044,0.230,-0.103,9.388,11.000,70.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
60,5,34773.148,34776.000,20.000,0,0,0.000,2.242,0.098,9.452,0.082,0.045,-0.029,0.041,0.022,9.452,15.000,69.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
61,5,34798.152,34799.000,23.000,0,0,0.000,2.242,0.146,9.457,0.145,-0.008,-0.020,0.043,0.007,9.457,13.000,67.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
62,5,34813.160,34816.000,17.000,0,0,0.000,2.242,0.157,9.637,0.153,-0.031,-0.009,0.199,0.335,9.629,13.000,66.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
63,5,34833.160,34838.000,22.000,0,0,0.000,2.242,0.131,9.771,0.128,-0.023,0.016,0.402,0.505,9.749,13.000,70.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
64,5,34853.160,34856.000,18.000,0,0,0.000,2.242,0.091,9.771,0.087,-0.008,0.026,0.287,0.582,9.749,10.000,68.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
65,5,34873.148,34876.000,20.000,0,0,0.000,2.242,0.067,9.660,0.050,-0.005,0.045,0.259,0.453,9.646,7.000,70.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
66,5,34893.160,34896.000,20.000,0,0,0.000,2.242,0.072,9.619,0.039,-0.016,0.059,0.180,0.472,9.606,13.000,68.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
67,5,34913.160,34916.000,20.000,0,0,0.000,2.242,0.080,9.641,0.019,-0.046,0.063,0.175,0.541,9.625,10.000,67.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
68,5,34933.164,34936.000,20.000,0,0,0.000,2.242,0.094,9.749,-0.035,-0.063,0.061,0.050,0.646,9.728,12.000,70.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
69,5,34953.160,34956.000,20.000,0,0,0.000,2.242,0.145,9.946,-0.116,-0.073,0.048,0.333,0.917,9.898,8.000,69.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
70,5,34973.168,34976.000,20.000,0,0,0.000,2.242,0.205,9.795,-0.201,-0.032,0.027,0.352,0.666,9.766,12.000,70.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
71,5,34993.160,34996.000,20.000,0,0,0.000,2.242,0.233,9.727,-0.233,-0.005,0.003,0.453,0.390,9.708,11.000,67.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
72,5,35013.160,35016.000,20.000,0,0,0.000,2.242,0.254,9.728,-0.250,0.040,-0.019,0.484,0.436,9.706,9.000,70.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
73,5,35033.148,35036.000,20.000,0,0,0.000,2.242,0.296,9.730,-0.282,0.086,-0.029,0.448,0.366,9.713,11.000,69.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
74,5,35053.160,35056.000,20.000,0,0,0.000,2.242,0.333,9.639,-0.305,0.127,-0.040,0.445,0.172,9.627,13.000,71.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
75,5,35073.148,35076.000,20.000,0,0,0.000,2.242,0.333,9.531,-0.291,0.157,-0.038,0.402,-0.098,9.522,12.000,68.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
76,5,35093.160,35096.000,20.000,0,0,0.000,2.242,0.286,9.426,-0.235,0.160,-0.028,0.175,-0.376,9.416,12.000,70.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
77,5,35113.160,35116.000,20.000,0,0,0.000,2.242,0.190,9.427,-0.140,0.127,-0.012,0.141,-0.354,9.419,10.000,72.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
78,5,35133.152,35136.000,20.000,0,0,0.000,2.242,0.176,9.713,-0.136,0.111,-0.007,0.172,0.079,9.711,12.000,72.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
79,5,35153.160,35156.000,20.000,0,0,0.000,2.242,0.177,9.615,-0.145,0.102,0.000,0.144,-0.259,9.610,11.000,70.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
80,5,35173.148,35176.000,20.000,0,0,0.000,2.242,0.150,9.436,-0.101,0.109,0.015,0.244,-0.354,9.426,13.000,70.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
81,5,35193.160,35196.000,20.000,0,0,0.000,2.242,0.119,9.461,-0.037,0.106,0.037,0.103,-0.500,9.448,10.000,73.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
82,5,35213.152,35216.000,20.000,0,0,0.000,2.242,0.106,9.422,0.038,0.087,0.048,-0.014,-0.493,9.409,12.000,72.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
83,5,35233.160,35236.000,20.000,0,0,0.000,2.242,0.113,9.637,0.052,0.078,0.063,0.093,0.022,9.637,11.000,73.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
84,5,35253.160,35256.000,20.000,0,0,0.000,2.242,0.097,9.549,0.042,0.044,0.076,-0.194,-0.163,9.546,13.000,73.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
85,5,35273.148,35276.000,20.000,0,0,0.000,2.242,0.108,9.502,0.066,-0.003,0.085,-0.091,-0.268,9.498,11.000,73.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
86,5,35293.168,35296.000,20.000,0,0,0.000,2.242,0.116,9.661,0.068,-0.030,0.088,-0.084,-0.019,9.661,12.000,73.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
87,5,35313.160,35316.000,20.000,0,0,0.000,2.242,0.110,9.719,0.056,-0.049,0.080,0.148,0.057,9.718,12.000,71.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
88,5,35333.160,35336.000,20.000,0,0,0.000,2.242,0.065,9.818,0.019,0.007,0.062,0.366,0.196,9.809,11.000,69.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
89,5,35353.160,35356.000,20.000,0,0,0.000,2.242,0.067,9.739,-0.022,0.050,0.038,0.141,0.091,9.737,14.000,71.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
90,5,35373.148,35376.000,20.000,0,0,0.000,2.242,0.091,9.746,-0.051,0.074,0.011,0.192,0.014,9.744,10.000,72.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
91,5,35393.160,35396.000,20.000,0,0,0.000,2.242,0.122,9.648,-0.057,0.107,-0.007,0.108,-0.115,9.646,14.000,72.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
92,5,35413.160,35416.000,20.000,0,0,0.000,2.242,0.126,9.621,-0.048,0.116,-0.015,0.002,-0.127,9.620,14.000,72.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
93,5,35433.160,35436.000,20.000,0,0,0.000,2.242,0.129,9.622,-0.060,0.110,-0.032,-0.053,-0.012,9.622,12.000,68.000,120.000,-57.296,2.242,0,0,0,0,0,0,0,0
94,5,35453.160,35456.000,20.000,0,0,0.000,2.242,0.171,9.844,-0.110,0.127,-0.032,0.199,0.211,9.840,12.000,75.000,101.000,-163.497,358.927,0,0,0,0,0,0,0,0
95,5,35473.152,35476.000,20.000,0,0,0.000,2.242,0.217,9.653,-0.145,0.159,-0.024,0.187,-0.220,9.649,10.000,69.000,120.000,-57.296,358.927,0,0,0,0,0,0,0,0
96,5,35493.148,35496.000,20.000,0,0,0.000,2.242,0.249,9.669,-0.145,0.203,0.002,0.263,-0.230,9.663,13.000,68.000,120.000,-57.296,358.927,0,0,0,0,0,0,0,0
97,5,35513.160,35516.000,20.000,0,0,0.000,2.242,0.274,9.585,-0.137,0.231,0.057,0.072,-0.321,9.579,10.000,71.000,120.000,-57.296,358.927,0,0,0,0,0,0,0,0
98,5,35533.152,35536.000,20.000,0,0,0.000,2.242,0.260,9.402,-0.094,0.211,0.119,-0.036,-0.735,9.373,13.000,73.000,120.000,-57.296,358.927,0,0,0,0,0,0,0,0
99,5,35553.160,35556.000,20.000,0,0,0.000,2.340,0.253,9.426,0.013,0.174,0.183,-0.266,-0.747,9.392,10.000,69.000,120.000,-57.296,359.025,0,0,0,0,0,0,0,0
100,5,35573.160,35576.000,20.000,0,0,0.000,2.579,0.251,9.510,0.034,0.093,0.230,-0.488,-0.208,9.495,12.000,72.000,102.000,-160.893,356.061,0,0,0,0,0,0,0,0
101,5,35593.168,35596.000,20.000,0,0,0.000,2.867,0.277,9.540,0.022,0.049,0.271,-0.175,-0.297,9.534,9.000,69.000,120.000,-57.296,356.349,0,0,0,0,0,0,0,0
102,5,35613.160,35616.000,20.000,0,0,0.000,3.202,0.315,9.508,0.055,0.036,0.308,-0.115,-0.512,9.493,10.000,66.000,105.000,-155.899,353.633,0,0,0,0,0,0,0,0
103,5,35633.164,35636.000,20.000,0,0,0.000,3.572,0.346,9.620,0.087,0.034,0.333,-0.254,-0.280,9.613,11.000,66.000,64.000,178.163,350.485,0,0,0,0,0,0,0,0
104,5,35653.164,35656.000,20.000,0,0,0.000,3.964,0.356,9.771,0.057,0.015,0.351,-0.215,0.026,9.768,11.000,67.000,67.000,-180.000,347.460,0,0,0,0,0,0,0,0
105,5,35673.164,35676.000,20.000,0,0,0.000,4.369,0.356,9.677,0.002,0.007,0.356,-0.215,-0.026,9.675,12.000,69.000,120.000,-57.296,347.865,0,0,0,0,0,0,0,0
106,5,35693.148,35696.000,20.000,0,0,0.000,4.785,0.363,9.442,0.005,-0.012,0.363,-0.227,-0.445,9.428,12.000,65.000,106.000,-154.215,345.431,0,0,0,0,0,0,0,0
107,5,35713.148,35716.000,20.000,0,0,0.000,5.204,0.368,9.546,0.042,-0.031,0.364,-0.294,-0.385,9.534,8.000,65.000,120.000,-57.296,345.851,0,0,0,0,0,0,0,0
108,5,35733.160,35736.000,20.000,0,0,0.000,5.618,0.363,9.528,0.067,-0.050,0.353,-0.335,-0.218,9.519,10.000,63.000,120.000,-57.296,346.264,0,0,0,0,0,0,0,0
109,5,35753.160,35756.000,20.000,0,0,0.000,6.014,0.357,9.722,0.069,-0.085,0.340,-0.402,-0.093,9.713,11.000,63.000,71.000,-172.947,343.468,0,0,0,0,0,0,0,0
110,5,35773.164,35776.000,20.000,0,0,0.000,6.377,0.317,9.685,0.034,-0.086,0.303,-0.390,-0.060,9.677,10.000,64.000,80.000,-167.402,340.806,0,0,0,0,0,0,0,0
111,5,35793.148,35796.000,20.000,0,0,0.000,6.703,0.300,9.522,0.038,-0.127,0.269,-0.385,-0.285,9.510,10.000,64.000,120.000,-57.296,341.132,0,0,0,0,0,0,0,0
112,5,35813.160,35816.000,20.000,0,0,0.000,6.979,0.261,9.664,0.049,-0.130,0.220,-0.321,-0.081,9.658,10.000,60.000,120.000,-57.296,341.408,0,0,0,0,0,0,0,0
113,5,35833.160,35836.000,20.000,0,0,0.000,7.201,0.218,9.762,0.005,-0.137,0.169,-0.244,0.206,9.756,10.000,60.000,120.000,-57.296,341.630,0,0,0,0,0,0,0,0
114,5,35853.160,35856.000,20.000,0,0,0.000,7.246,0.166,9.722,-0.055,-0.111,0.111,0.050,0.153,9.720,11.000,63.000,120.000,-57.296,341.676,0,0,0,0,0,0,0,0
115,5,35873.160,35876.000,20.000,0,0,0.000,7.246,0.107,9.691,-0.086,-0.041,0.049,0.249,-0.103,9.687,10.000,62.000,77.000,-167.684,338.689,0,0,0,0,0,0,0,0
116,5,35893.168,35896.000,20.000,0,0,0.000,7.246,0.092,9.681,-0.082,0.040,-0.013,0.239,-0.096,9.677,10.000,61.000,120.000,-57.296,338.689,0,0,0,0,0,0,0,0
117,5,35913.160,35916.000,20.000,0,0,0.000,7.246,0.177,9.777,-0.119,0.110,-0.070,0.105,0.144,9.776,10.000,61.000,120.000,-57.296,338.689,0,0,0,0,0,0,0,0
118,5,35933.160,35936.000,20.000,0,0,0.000,7.246,0.278,9.911,-0.188,0.169,-0.115,0.081,0.117,9.910,10.000,63.000,120.000,-57.296,338.689,0,0,0,0,0,0,0,0
119,5,35953.160,35956.000,20.000,0,0,0.000,7.202,0.361,9.823,-0.251,0.209,-0.153,0.002,0.041,9.823,10.000,61.000,120.000,-57.296,338.645,0,0,0,0,0,0,0,0
120,5,35973.148,35976.000,20.000,0,0,0.000,7.009,0.417,9.723,-0.299,0.232,-0.174,-0.072,-0.215,9.720,11.000,61.000,63.000,-178.055,335.321,0,0,0,0,0,0,0,0
121,5,35993.148,35996.000,20.000,0,0,0.000,6.792,0.421,9.531,-0.295,0.229,-0.196,-0.323,-0.460,9.515,10.000,60.000,120.000,-57.296,335.104,0,0,0,0,0,0,0,0
122,5,36013.168,36016.000,20.000,0,0,0.000,6.568,0.394,9.514,-0.276,0.204,-0.195,-0.352,-0.599,9.488,8.000,62.000,53.000,171.052,331.603,0,0,0,0,0,0,0,0
123,5,36033.148,36036.000,20.000,0,0,0.000,6.354,0.349,9.471,-0.241,0.177,-0.181,-0.287,-0.702,9.440,10.000,61.000,52.000,170.485,328.171,0,0,0,0,0,0,0,0
124,5,36053.164,36056.000,20.000,0,0,0.000,6.162,0.295,9.565,-0.211,0.132,-0.158,-0.536,-0.740,9.522,12.000,64.000,60.000,176.037,324.941,0,0,0,0,0,0,0,0
125,5,36073.164,36076.000,20.000,0,0,0.000,6.162,0.222,9.455,-0.171,0.061,-0.127,-0.567,-0.927,9.392,9.000,63.000,120.000,-57.296,324.941,0,0,0,0,0,0,0,0
126,5,36093.148,36096.000,20.000,0,0,0.000,6.162,0.146,9.414,-0.110,0.014,-0.096,-0.397,-1.001,9.352,12.000,62.000,59.000,176.934,321.981,0,0,0,0,0,0,0,0
127,5,36113.168,36116.000,20.000,0,0,0.000,6.162,0.096,9.595,-0.073,-0.003,-0.062,-0.204,-0.819,9.558,9.000,64.000,59.000,175.285,319.047,0,0,0,0,0,0,0,0
128,5,36133.148,36136.000,20.000,0,0,0.000,6.162,0.053,9.543,-0.049,-0.002,-0.020,-0.230,-0.874,9.500,9.000,63.000,61.000,178.128,316.229,0,0,0,0,0,0,0,0
129,5,36153.164,36156.000,20.000,0,0,0.000,6.162,0.028,9.472,0.011,-0.014,0.021,-0.211,-1.068,9.409,12.000,63.000,57.000,173.822,313.380,0,0,0,0,0,0,0,0
130,5,36173.164,36176.000,20.000,0,0,0.000,6.162,0.094,9.542,0.070,-0.022,0.059,-0.297,-0.946,9.491,11.000,64.000,65.000,-179.073,310.731,0,0,0,0,0,0,0,0
131,5,36193.148,36196.000,20.000,0,0,0.000,6.162,0.138,9.540,0.096,-0.040,0.091,-0.211,-0.764,9.507,12.000,61.000,73.000,-169.300,308.331,0,0,0,0,0,0,0,0
132,5,36213.152,36216.000,20.000,0,0,0.000,6.162,0.146,9.647,0.100,-0.007,0.107,-0.062,-0.654,9.625,10.000,62.000,67.000,-175.457,305.855,0,0,0,0,0,0,0,0
133,5,36233.164,36236.000,20.000,0,0,0.000,6.162,0.161,9.695,0.088,0.052,0.125,0.093,-0.575,9.677,12.000,63.000,77.000,-168.193,303.574,0,0,0,0,0,0,0,0
134,5,36253.164,36256.000,20.000,0,0,0.000,6.162,0.195,9.631,0.075,0.109,0.143,-0.005,-0.591,9.613,9.000,61.000,67.000,-174.603,301.211,0,0,0,0,0,0,0,0
